riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs9846396-T	4E-8	-	0.425	-	"0.032255378 unit increase"	[0.021-0.044]	ZBTB38	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	3:141422126	31681408	"Yang XL"
rs13322435-A	2E-27	-	0.6	-	"0.06803593 unit increase"	[0.056-0.08]	LINC00880,LEKR1	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	3:157077679	31681408	"Yang XL"
rs724577-A	4E-16	-	0.358	-	"0.049361188 unit increase"	[0.037-0.061]	LCORL	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	4:17991787	31681408	"Yang XL"
rs4078304-T	3E-8	-	0.177	-	"0.0444734 unit decrease"	[0.029-0.06]	PABPC4L,PCDH10	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	4:133947646	31681408	"Yang XL"
rs6537307-A	2E-12	-	0.54	-	"0.043142006 unit decrease"	[0.031-0.055]	HHIP	"Birth length (MTAG)"	"body height at birth"	-	GCST009499	4:144680711	31681408	"Yang XL"
rs905938-C	2E-8	-	0.24	-	"0.046 unit increase"	[0.030-0.062]	DCST2	"Birth length"	"body height at birth"	-	GCST002644	1:155018913	25281659	"van der Valk RJ"
rs11037473-A	1E-6	-	0.07	-	"0.069 unit decrease"	[0.042-0.096]	CTBP2P6,MIR670	"Birth length"	"body height at birth"	-	GCST002644	11:43554517	25281659	"van der Valk RJ"
rs1351394-T	7E-7	-	0.498	-	"0.044 unit increase"	[0.026-0.062]	HMGA2	"Birth length"	"body height at birth"	-	GCST002644	12:65958046	25281659	"van der Valk RJ"
rs6449353-T	1E-6	-	0.141	-	"0.065 unit increase"	[0.040-0.090]	LCORL,LINC02438	"Birth length"	"body height at birth"	-	GCST002644	4:18031865	25281659	"van der Valk RJ"
rs7763064-A	6E-6	-	0.288	-	"0.044 unit decrease"	[0.024-0.064]	ADGRG6,HIVEP2	"Birth length"	"body height at birth"	-	GCST002644	6:142476152	25281659	"van der Valk RJ"
rs11205277-A	8E-6	-	0.373	-	"0.041 unit decrease"	[0.023-0.059]	SF3B4,SV2A	"Birth length"	"body height at birth"	-	GCST002644	1:149920979	25281659	"van der Valk RJ"
rs9993613-T	5E-24	-	0.473	-	"0.03 unit increase"	[0.024-0.036]	ADAMTS3,HNRNPA1P67	Height	"body height"	-	GCST002647	4:72610297	25282103	"Wood AR"
rs17556750-A	8E-48	-	0.314	-	"0.046 unit increase"	[0.04-0.052]	RNU5A-2P,PRKG2	Height	"body height"	-	GCST002647	4:81234414	25282103	"Wood AR"
rs1562975-A	6E-15	-	0.301	-	"0.025 unit increase"	[0.019-0.031]	RPL34-DT,EXOC7P1	Height	"body height"	-	GCST002647	4:108487452	25282103	"Wood AR"
rs1812175-A	2E-86	-	0.163	-	"0.079 unit decrease"	[0.071-0.087]	HHIP,HHIP-AS1	Height	"body height"	-	GCST002647	4:144653692	25282103	"Wood AR"
rs4240326-A	3E-43	-	0.464	-	"0.04 unit increase"	[0.034-0.046]	ANAPC10	Height	"body height"	-	GCST002647	4:144918112	25282103	"Wood AR"
rs7731703-T	4E-18	-	0.318	-	"0.03 unit decrease"	[0.024-0.036]	NPR3	Height	"body height"	-	GCST002647	5:32694836	25282103	"Wood AR"
rs9292468-T	2E-33	-	0.399	-	"0.036 unit increase"	[0.03-0.042]	NPR3,LINC02120	Height	"body height"	-	GCST002647	5:32818967	25282103	"Wood AR"
rs301901-A	4E-16	-	0.565	-	"0.024 unit increase"	[0.018-0.03]	NIPBL	Height	"body height"	-	GCST002647	5:37046524	25282103	"Wood AR"
rs7716219-T	7E-22	-	0.307	-	"0.03 unit increase"	[0.024-0.036]	SLC38A9	Height	"body height"	-	GCST002647	5:55659243	25282103	"Wood AR"
rs6894139-T	6E-24	-	0.562	-	"0.03 unit increase"	[0.024-0.036]	MEF2C-AS1	Height	"body height"	-	GCST002647	5:89031965	25282103	"Wood AR"
rs13177718-T	3E-13	-	0.075	-	"0.043 unit decrease"	[0.031-0.055]	FER	Height	"body height"	-	GCST002647	5:108777643	25282103	"Wood AR"
rs6887276-C	1E-9	-	0.546	-	"0.018 unit decrease"	[0.012-0.024]	SLC12A2-DT	Height	"body height"	-	GCST002647	5:128042602	25282103	"Wood AR"
rs2974438-A	4E-24	-	0.203	-	"0.037 unit decrease"	[0.029-0.045]	SLIT3	Height	"body height"	-	GCST002647	5:168823898	25282103	"Wood AR"
rs4620037-A	1E-18	-	0.796	-	"0.032 unit increase"	[0.024-0.04]	FGF18	Height	"body height"	-	GCST002647	5:171448093	25282103	"Wood AR"
rs4868126-T	3E-29	-	0.395	-	"0.036 unit decrease"	[0.030-0.042]	FBXW11,SMIM23	Height	"body height"	-	GCST002647	5:171856465	25282103	"Wood AR"
rs422421-T	2E-20	-	0.218	-	"0.034 unit decrease"	[0.026-0.042]	FGFR4	Height	"body height"	-	GCST002647	5:177090325	25282103	"Wood AR"
rs11950938-C	5E-11	-	0.971	-	"0.061 unit decrease"	[0.043-0.079]	NSD1	Height	"body height"	-	GCST002647	5:177149292	25282103	"Wood AR"
rs11750568-A	6E-11	-	0.332	-	"0.02 unit increase"	[0.014-0.026]	ZNF354C,ADAMTS2	Height	"body height"	-	GCST002647	5:179108712	25282103	"Wood AR"
rs9392918-T	4E-38	-	0.525	-	"0.038 unit decrease"	[0.032-0.044]	RPL29P1,BMP6	Height	"body height"	-	GCST002647	6:7708398	25282103	"Wood AR"
rs4141885-A	8E-22	-	0.918	-	"0.073 unit increase"	[0.057-0.089]	H1-4,H2BC5	Height	"body height"	-	GCST002647	6:26157253	25282103	"Wood AR"
rs806794-A	5E-74	-	0.71	-	"0.06 unit increase"	[0.054-0.066]	H4C5,H2BC7	Height	"body height"	-	GCST002647	6:26200449	25282103	"Wood AR"
rs1265097-A	2E-32	-	0.115	-	"0.059 unit decrease"	[0.049-0.069]	PSORS1C2,PSORS1C1	Height	"body height"	-	GCST002647	6:31138682	25282103	"Wood AR"
rs6457374-T	8E-35	-	0.73	-	"0.041 unit decrease"	[0.035-0.047]	HLA-B,LINC02571	Height	"body height"	-	GCST002647	6:31304484	25282103	"Wood AR"
rs2857693-T	3E-29	-	0.38	-	"0.034 unit decrease"	[0.028-0.04]	AIF1,PRRC2A	Height	"body height"	-	GCST002647	6:31620607	25282103	"Wood AR"
rs12214804-T	2E-49	-	0.92	-	"0.084 unit decrease"	[0.072-0.096]	HMGA1,CYCSP55	Height	"body height"	-	GCST002647	6:34221089	25282103	"Wood AR"
rs16942323-C	1E-11	-	0.0344	-	"0.012843136 m decrease"	[0.0091-0.0165]	ACAN	Height	"body height"	-	GCST004212	15:88840533	28270201	"Nagy R"
rs8096254-A	4E-12	-	0.2598	-	"0.005295192 m increase"	[0.0038-0.0068]	CABLES1,RBBP8	Height	"body height"	-	GCST004212	18:23133251	28270201	"Nagy R"
rs6060402-C	3E-13	-	0.3585	-	"0.005148273 m decrease"	[0.0038-0.0065]	UQCC1,GDF5-AS1	Height	"body height"	-	GCST004212	20:35417437	28270201	"Nagy R"
rs56088284-G	4E-9	-	0.0927763	-	"0.007186769 m decrease"	[0.0048-0.0096]	KDM2A	Height	"body height"	-	GCST004212	11:67132148	28270201	"Nagy R"
rs61734601-A	2E-10	-	0.0931281	-	"0.007811173 m decrease"	[0.0054-0.0102]	PPP1CA,CARNS1	Height	"body height"	-	GCST004212	11:67417254	28270201	"Nagy R"
rs1578060-C	8E-10	-	0.445145	-	"0.004162694 m increase"	[0.0028-0.0055]	MIR588,CENPW	Height	"body height"	-	GCST004212	6:126391101	28270201	"Nagy R"
rs6918725-G	7E-10	-	0.485225	-	"0.00418718 m increase"	[0.0029-0.0055]	PRELID1P1,RPS4XP9	Height	"body height"	-	GCST004212	6:126669246	28270201	"Nagy R"
rs263179-C	8E-12	-	0.293173	-	"0.005117665 m decrease"	[0.0037-0.0066]	ADGRG6,HIVEP2	Height	"body height"	-	GCST004212	6:142542751	28270201	"Nagy R"
rs6060355-A	8E-13	-	0.357275	-	"0.004995233 m increase"	[0.0036-0.0064]	UQCC1,FAM83C	Height	"body height"	-	GCST004212	20:35302258	28270201	"Nagy R"
rs146949893-C	4E-8	-	0.0031	-	"0.039000772 m increase"	[0.025-0.053]	LINC01645	Height	"body height"	-	GCST004212	1:177435374	28270201	"Nagy R"
rs558671668-C	3E-8	-	0.0062	-	"0.026586147 m increase"	[0.017-0.036]	NPL,LINC01688	Height	"body height"	-	GCST004212	1:182736957	28270201	"Nagy R"
rs6765866-G	2E-8	-	7.0E-4	-	"0.09250363 m increase"	[0.06-0.125]	CMTM8	Height	"body height"	-	GCST004212	3:32306212	28270201	"Nagy R"
rs1991431-A	5E-13	-	0.4338	-	"0.0048911655 m increase"	[0.0036-0.0062]	ZBTB38	Height	"body height"	-	GCST004212	3:141414608	28270201	"Nagy R"
rs35362908-C	7E-9	-	0.1006	-	"0.007578552 m decrease"	[0.005-0.0101]	LCORL	Height	"body height"	-	GCST004212	4:17992675	28270201	"Nagy R"
rs552283803-C	4E-8	-	0.0016	-	"0.05250504 m decrease"	[0.034-0.071]	ARHGAP24	Height	"body height"	-	GCST004212	4:85575677	28270201	"Nagy R"
rs755546258-T	3E-8	-	7.0E-4	-	"0.08185815 m decrease"	[0.053-0.111]	DAP	Height	"body height"	-	GCST004212	5:10698974	28270201	"Nagy R"
rs72742734-G	4E-8	-	0.0537	-	"0.008202956 m increase"	[0.0053-0.0111]	NPR3	Height	"body height"	-	GCST004212	5:32773169	28270201	"Nagy R"
rs554379257-T	5E-8	-	6.0E-4	-	"0.111964226 m decrease"	[0.072-0.152]	RMEL3	Height	"body height"	-	GCST004212	5:57456821	28270201	"Nagy R"
rs7766641-A	3E-13	-	0.2551	-	"0.005613515 m decrease"	[0.0041-0.0071]	H2BC6	Height	"body height"	-	GCST004212	6:26183874	28270201	"Nagy R"
rs57026767-T	5E-11	-	0.155	-	"0.0061093657 m decrease"	[0.0043-0.0079]	SMIM29,RPL35P2	Height	"body height"	-	GCST004212	6:34251921	28270201	"Nagy R"
rs566773279-G	1E-8	-	5.0E-4	-	"0.10210232 m increase"	[0.067-0.137]	TBX18,RPL31P32	Height	"body height"	-	GCST004212	6:85141597	28270201	"Nagy R"
rs1490384-T	7E-10	-	0.4851	-	"0.004162694 m increase"	[0.0028-0.0055]	MIR588,RNU6-200P	Height	"body height"	-	GCST004212	6:126530014	28270201	"Nagy R"
rs7753012-G	8E-14	-	0.3072	-	"0.0054543535 m decrease"	[0.004-0.0069]	ADGRG6	Height	"body height"	-	GCST004212	6:142424746	28270201	"Nagy R"
rs184469050-G	2E-8	-	0.0088	-	"0.02168886 m decrease"	[0.014-0.029]	SMIM30,PPP1R3A	Height	"body height"	-	GCST004212	7:113627804	28270201	"Nagy R"
rs144225905-T	2E-9	-	0.001	-	"0.09191596 m decrease"	[0.062-0.122]	LINC02667,LINC01163	Height	"body height"	-	GCST004212	10:128884608	28270201	"Nagy R"
rs7952436-T	2E-12	-	0.0896	-	"0.008747779 m decrease"	[0.0063-0.0112]	KDM2A	Height	"body height"	-	GCST004212	11:67257063	28270201	"Nagy R"
rs634552-G	2E-8	-	0.1365	-	"0.005503326 m decrease"	[0.0036-0.0074]	SERPINH1	Height	"body height"	-	GCST004212	11:75571007	28270201	"Nagy R"
rs76895963-G	3E-8	-	0.0285	-	"0.012426866 m increase"	[0.008-0.0168]	CCND2,CCND2-AS1	Height	"body height"	-	GCST004212	12:4275678	28270201	"Nagy R"
rs770307181-T	1E-8	-	5.0E-4	-	"0.12091402 m increase"	[0.079-0.162]	RPL21P103,LINC02388	Height	"body height"	-	GCST004212	12:58354663	28270201	"Nagy R"
rs139770682-C	5E-8	-	5.0E-4	-	"0.094615586 m decrease"	[0.061-0.129]	LINC02426	Height	"body height"	-	GCST004212	12:81983187	28270201	"Nagy R"
rs11614062-T	2E-8	-	0.1943	-	"0.0047932197 m increase"	[0.0031-0.0065]	SOCS2-AS1	Height	"body height"	-	GCST004212	12:93562896	28270201	"Nagy R"
rs75061684-A	5E-10	-	6.0E-4	-	"0.12517466 m decrease"	[0.086-0.165]	Metazoa_SRP,SIAH3	Height	"body height"	-	GCST004212	13:45767366	28270201	"Nagy R"
rs2013674-?	7E-13	-	NR	-	-	-	BEND6	Height	"body height"	-	GCST007841	6:57015661	30595370	"Kichaev G"
rs1936246-?	4E-9	-	NR	-	-	-	GAPDHP15,RBBP4P4	Height	"body height"	-	GCST007841	6:58045670	30595370	"Kichaev G"
rs9351595-?	7E-13	-	NR	-	-	-	RNU7-66P,RNA5SP208	Height	"body height"	-	GCST007841	6:66758469	30595370	"Kichaev G"
rs852928-?	3E-17	-	NR	-	-	-	NGRNP2,LINC01626	Height	"body height"	-	GCST007841	6:71471412	30595370	"Kichaev G"
rs12209223-?	2E-59	-	NR	-	-	-	FILIP1	Height	"body height"	-	GCST007841	6:75454873	30595370	"Kichaev G"
rs2748952-?	1E-25	-	NR	-	-	-	SENP6,MYO6	Height	"body height"	-	GCST007841	6:75734644	30595370	"Kichaev G"
rs9448840-?	1E-10	-	NR	-	-	-	ELOVL4,LINC01621	Height	"body height"	-	GCST007841	6:79853424	30595370	"Kichaev G"
rs12209419-?	7E-78	-	NR	-	-	-	BCKDHB	Height	"body height"	-	GCST007841	6:80141097	30595370	"Kichaev G"
rs13194702-?	4E-17	-	NR	-	-	-	RPSAP72,TENT5A	Height	"body height"	-	GCST007841	6:80631452	30595370	"Kichaev G"
rs56921855-?	1E-21	-	NR	-	-	-	RPSAP72,TENT5A	Height	"body height"	-	GCST007841	6:80750041	30595370	"Kichaev G"
rs79493866-?	3E-63	-	NR	-	-	-	TENT5A,RPSAP72	Height	"body height"	-	GCST007841	6:80996741	30595370	"Kichaev G"
rs9341844-?	2E-55	-	NR	-	-	-	RPSAP72,TENT5A	Height	"body height"	-	GCST007841	6:81104607	30595370	"Kichaev G"
rs190052446-?	2E-8	-	NR	-	-	-	RPSAP72,TENT5A	Height	"body height"	-	GCST007841	6:81224627	30595370	"Kichaev G"
rs3828760-?	6E-28	-	NR	-	-	-	TENT5A	Height	"body height"	-	GCST007841	6:81747267	30595370	"Kichaev G"
rs76080730-?	1E-10	-	NR	-	-	-	LINC02542	Height	"body height"	-	GCST007841	6:81876541	30595370	"Kichaev G"
rs80083067-?	3E-9	-	NR	-	-	-	LINC02542	Height	"body height"	-	GCST007841	6:81904816	30595370	"Kichaev G"
rs6933883-?	2E-8	-	NR	-	-	-	TPBG,UBE3D	Height	"body height"	-	GCST007841	6:82737700	30595370	"Kichaev G"
rs62419196-?	7E-21	-	NR	-	-	-	UBE3D	Height	"body height"	-	GCST007841	6:82997998	30595370	"Kichaev G"
rs217339-?	2E-8	-	NR	-	-	-	SNAP91	Height	"body height"	-	GCST007841	6:83629576	30595370	"Kichaev G"
rs761391-?	4E-24	-	NR	-	-	-	TBX18	Height	"body height"	-	GCST007841	6:84738385	30595370	"Kichaev G"
rs6910641-?	7E-8	-	NR	-	-	-	SNX14	Height	"body height"	-	GCST007841	6:85511854	30595370	"Kichaev G"
rs9351120-?	4E-8	-	NR	-	-	-	ZNF292	Height	"body height"	-	GCST007841	6:87199610	30595370	"Kichaev G"
rs7747136-?	1E-10	-	NR	-	-	-	SRSF12	Height	"body height"	-	GCST007841	6:89116527	30595370	"Kichaev G"
rs72945224-?	1E-8	-	NR	-	-	-	BDH2P1,MIR548AI	Height	"body height"	-	GCST007841	6:99157283	30595370	"Kichaev G"
rs2894889-?	5E-13	-	NR	-	-	-	MCHR2,Y_RNA	Height	"body height"	-	GCST007841	6:99714064	30595370	"Kichaev G"
rs7740107-?	8E-157	-	NR	-	-	-	L3MBTL3	Height	"body height"	-	GCST007841	6:130053316	30595370	"Kichaev G"
rs17633311-?	2E-13	-	NR	-	-	-	L3MBTL3	Height	"body height"	-	GCST007841	6:130127708	30595370	"Kichaev G"
rs141704717-?	2E-8	-	NR	-	-	-	TMEM200A	Height	"body height"	-	GCST007841	6:130391974	30595370	"Kichaev G"
rs13200945-?	1E-13	-	NR	-	-	-	SMLR1,Y_RNA	Height	"body height"	-	GCST007841	6:130768937	30595370	"Kichaev G"
rs9321266-?	1E-62	-	NR	-	-	-	EPB41L2	Height	"body height"	-	GCST007841	6:130995318	30595370	"Kichaev G"
rs4895915-?	1E-11	-	NR	-	-	-	AKAP7,EPB41L2	Height	"body height"	-	GCST007841	6:131100012	30595370	"Kichaev G"
rs4895927-?	1E-8	-	NR	-	-	-	LINC01013	Height	"body height"	-	GCST007841	6:132054343	30595370	"Kichaev G"
rs7743622-?	3E-15	-	NR	-	-	-	MOXD1,STX7	Height	"body height"	-	GCST007841	6:132409233	30595370	"Kichaev G"
rs12525309-?	2E-20	-	NR	-	-	-	EYA4	Height	"body height"	-	GCST007841	6:133316802	30595370	"Kichaev G"
rs9385650-?	2E-10	-	NR	-	-	-	TARID	Height	"body height"	-	GCST007841	6:133535619	30595370	"Kichaev G"
rs12209685-?	7E-12	-	NR	-	-	-	PDE7B	Height	"body height"	-	GCST007841	6:135907537	30595370	"Kichaev G"
rs62441842-?	3E-13	-	NR	-	-	-	ABRACL,REPS1	Height	"body height"	-	GCST007841	6:139009994	30595370	"Kichaev G"
rs7759066-?	4E-11	-	NR	-	-	-	LINC01625,ATP5PBP6	Height	"body height"	-	GCST007841	6:139526584	30595370	"Kichaev G"
rs7772473-?	1E-20	-	NR	-	-	-	FILNC1	Height	"body height"	-	GCST007841	6:139782720	30595370	"Kichaev G"
rs9389786-?	1E-17	-	NR	-	-	-	MIR4465,MIR3668	Height	"body height"	-	GCST007841	6:140299438	30595370	"Kichaev G"
rs1452987-?	4E-14	-	NR	-	-	-	RN7SKP106,RPS3AP24	Height	"body height"	-	GCST007841	6:141254682	30595370	"Kichaev G"
rs7749578-?	8E-57	-	NR	-	-	-	NMBR	Height	"body height"	-	GCST007841	6:142104415	30595370	"Kichaev G"
rs140924844-?	1E-8	-	NR	-	-	-	VTA1	Height	"body height"	-	GCST007841	6:142221727	30595370	"Kichaev G"
rs9496369-?	3E-217	-	NR	-	-	-	ADGRG6	Height	"body height"	-	GCST007841	6:142403781	30595370	"Kichaev G"
rs12530022-?	4E-10	-	NR	-	-	-	HIVEP2,ADGRG6	Height	"body height"	-	GCST007841	6:142708737	30595370	"Kichaev G"
rs7763660-?	6E-11	-	NR	-	-	-	HIVEP2	Height	"body height"	-	GCST007841	6:142819516	30595370	"Kichaev G"
rs12154082-?	5E-14	-	NR	-	-	-	HIVEP2	Height	"body height"	-	GCST007841	6:142938545	30595370	"Kichaev G"
rs223604-?	6E-13	-	NR	-	-	-	PARLP2,ADAT2	Height	"body height"	-	GCST007841	6:143383537	30595370	"Kichaev G"
rs56181683-?	2E-14	-	NR	-	-	-	GRM1,SHPRH	Height	"body height"	-	GCST007841	6:145965484	30595370	"Kichaev G"
rs12197416-?	3E-9	-	NR	-	-	-	SAMD5	Height	"body height"	-	GCST007841	6:147619650	30595370	"Kichaev G"
rs11783772-?	2E-8	-	NR	-	"0.0203215 unit decrease"	[0.013-0.027]	PLEC	Height	"body height"	-	GCST008839	8:143934275	31562340	"Akiyama M"
rs117968336-?	1E-18	-	NR	-	"0.039388817 unit increase"	[0.031-0.048]	SMPD3	Height	"body height"	-	GCST008839	16:68361468	31562340	"Akiyama M"
rs118100927-?	9E-12	-	NR	-	"0.03445598 unit increase"	[0.025-0.044]	LINC02606,SPSB1	Height	"body height"	-	GCST008839	1:9412922	31562340	"Akiyama M"
rs118173262-?	7E-11	-	NR	-	"0.04403053 unit decrease"	[0.031-0.057]	ZNF76	Height	"body height"	-	GCST008839	6:35276059	31562340	"Akiyama M"
rs11869940-?	1E-11	-	NR	-	"0.019686613 unit increase"	[0.014-0.025]	NPEPPS,MRPL45P2	Height	"body height"	-	GCST008839	17:47501069	31562340	"Akiyama M"
rs11898161-?	1E-23	-	NR	-	"0.028731694 unit decrease"	[0.023-0.034]	EIF2AK3	Height	"body height"	-	GCST008839	2:88582130	31562340	"Akiyama M"
rs11911974-?	2E-8	-	NR	-	"0.016218984 unit decrease"	[0.011-0.022]	ITSN1	Height	"body height"	-	GCST008839	21:33871390	31562340	"Akiyama M"
rs11923603-?	4E-13	-	NR	-	"0.022963969 unit increase"	[0.017-0.029]	NEPRO-AS1,LINC02044	Height	"body height"	-	GCST008839	3:113157102	31562340	"Akiyama M"
