riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7950004-A	4E-7	(African)	NR	-	"0.6942 unit decrease"	[0.43-0.96]	NUP98	"Childhood obesity"	obesity	-	GCST009382	11:3689514	31504550	"Bradfield JP"
rs76734286-T	1E-6	"(East Asian)"	NR	-	"3.5027 unit increase"	[2.09-4.92]	LINC01029,RNU6-655P	"Childhood obesity"	obesity	-	GCST009382	18:77996210	31504550	"Bradfield JP"
rs78710621-A	7E-7	(African)	NR	-	"0.9478 unit increase"	[0.57-1.32]	RPL35AP8,VIPR1	"Childhood obesity"	obesity	-	GCST009382	3:42476055	31504550	"Bradfield JP"
rs56094641-A	6E-25	(EA)	NR	-	"0.2024 unit decrease"	[0.16-0.24]	FTO	"Childhood obesity"	obesity	-	GCST009382	16:53772541	31504550	"Bradfield JP"
rs114917513-T	1E-6	(African)	NR	-	"1.5204 unit decrease"	[0.91-2.13]	KHDRBS2-OT1,RBBP4P3	"Childhood obesity"	obesity	-	GCST009382	6:60889221	31504550	"Bradfield JP"
rs7132908-A	6E-15	(EA)	NR	-	"0.1546 unit increase"	[0.12-0.19]	FAIM2	"Childhood obesity"	obesity	-	GCST009382	12:49869365	31504550	"Bradfield JP"
rs191817094-A	1E-6	(African)	NR	-	"1.2155 unit increase"	[0.72-1.71]	FAM169BP,IRAIN	"Childhood obesity"	obesity	-	GCST009382	15:98552042	31504550	"Bradfield JP"
rs6567160-T	7E-13	(EA)	NR	-	"0.1669 unit decrease"	[0.12-0.21]	RPS3AP49,RNU4-17P	"Childhood obesity"	obesity	-	GCST009382	18:60161902	31504550	"Bradfield JP"
rs2958950-A	2E-6	(African)	NR	-	"0.3066 unit decrease"	[0.18-0.43]	RN7SKP14,TOM1L1	"Childhood obesity"	obesity	-	GCST009382	17:54853060	31504550	"Bradfield JP"
rs10493544-T	2E-11	(EA)	NR	-	"0.1321 unit increase"	[0.093-0.171]	TNNI3K,FPGT-TNNI3K	"Childhood obesity"	obesity	-	GCST009382	1:74518151	31504550	"Bradfield JP"
rs78246608-A	2E-6	(African)	NR	-	"0.814 unit decrease"	[0.48-1.15]	LINC00958	"Childhood obesity"	obesity	-	GCST009382	11:12986110	31504550	"Bradfield JP"
rs114670539-T	5E-8	(EA)	NR	-	"0.2699 unit increase"	[0.17-0.37]	CMKLR2	"Childhood obesity"	obesity	-	GCST009382	2:206199611	31504550	"Bradfield JP"
rs74583214-T	5E-8	(EA)	NR	-	"0.2388 unit increase"	[0.15-0.32]	URAHP,GAS8	"Childhood obesity"	obesity	-	GCST009382	16:90044390	31504550	"Bradfield JP"
rs925494-T	2E-7	(EA)	NR	-	"0.1098 unit increase"	[0.068-0.151]	THAP12P9,PRDX4P1	"Childhood obesity"	obesity	-	GCST009382	4:45185605	31504550	"Bradfield JP"
rs61765651-T	4E-7	(EA)	NR	-	"0.1346 unit decrease"	[0.083-0.187]	RPL31P12,NEGR1	"Childhood obesity"	obesity	-	GCST009382	1:72288631	31504550	"Bradfield JP"
rs10835310-T	5E-7	(EA)	NR	-	"0.0994 unit increase"	[0.061-0.138]	METTL15	"Childhood obesity"	obesity	-	GCST009382	11:28334110	31504550	"Bradfield JP"
rs17309874-A	6E-7	(EA)	NR	-	"0.111 unit increase"	[0.067-0.155]	BDNF-AS	"Childhood obesity"	obesity	-	GCST009382	11:27645689	31504550	"Bradfield JP"
rs59449492-T	4E-6	(African)	NR	-	"0.5547 unit decrease"	[0.32-0.79]	RN7SL89P,PPA2	"Childhood obesity"	obesity	-	GCST009382	4:105348132	31504550	"Bradfield JP"
rs116765785-T	1E-6	(EA)	NR	-	"0.2816 unit increase"	[0.17-0.39]	PPIAP68,INO80D	"Childhood obesity"	obesity	-	GCST009382	2:205950177	31504550	"Bradfield JP"
rs6968032-A	4E-6	(African)	NR	-	"1.0259 unit increase"	[0.59-1.46]	CARD11	"Childhood obesity"	obesity	-	GCST009382	7:2962322	31504550	"Bradfield JP"
rs2088252-A	1E-6	(EA)	NR	-	"0.1162 unit decrease"	[0.069-0.163]	PTBP2	"Childhood obesity"	obesity	-	GCST009382	1:96738735	31504550	"Bradfield JP"
rs114899186-A	5E-6	(African)	NR	-	"0.5554 unit decrease"	[0.32-0.79]	PRDM16	"Childhood obesity"	obesity	-	GCST009382	1:3253191	31504550	"Bradfield JP"
rs181263645-A	1E-6	(EA)	NR	-	"0.2379 unit increase"	[0.14-0.33]	ACER2P1,ZDBF2	"Childhood obesity"	obesity	-	GCST009382	2:206401557	31504550	"Bradfield JP"
rs74424893-T	5E-6	(African)	NR	-	"0.3535 unit decrease"	[0.2-0.51]	DDX18,RNU7-190P	"Childhood obesity"	obesity	-	GCST009382	2:117379926	31504550	"Bradfield JP"
rs80116460-T	3E-6	(EA)	NR	-	"0.2703 unit decrease"	[0.16-0.38]	LINC02208	"Childhood obesity"	obesity	-	GCST009382	5:118489957	31504550	"Bradfield JP"
rs2481599-A	3E-7	"(East Asian)"	NR	-	"0.9141 unit increase"	[0.56-1.26]	FXN	"Childhood obesity"	obesity	-	GCST009382	9:69039128	31504550	"Bradfield JP"
rs79958840-T	6E-7	(African)	NR	-	"1.2013 unit increase"	[0.73-1.67]	LINC00540,FTH1P7	"Childhood obesity"	obesity	-	GCST009382	13:22450990	31504550	"Bradfield JP"
rs4736065-A	3E-6	"(East Asian)"	NR	-	"0.8968 unit increase"	[0.52-1.28]	KCNK9,COL22A1	"Childhood obesity"	obesity	-	GCST009382	8:139245800	31504550	"Bradfield JP"
rs74676541-T	8E-7	(African)	NR	-	"0.8802 unit increase"	[0.53-1.23]	LINC02503,CXXC4	"Childhood obesity"	obesity	-	GCST009382	4:104074833	31504550	"Bradfield JP"
rs7579427-A	4E-18	(EA)	NR	-	"0.2194 unit increase"	[0.17-0.27]	TMEM18,LINC01875	"Childhood obesity"	obesity	-	GCST009382	2:631183	31504550	"Bradfield JP"
rs151164573-A	1E-6	(African)	NR	-	"0.3634 unit decrease"	[0.22-0.51]	RNU6-991P,LINC01714	"Childhood obesity"	obesity	-	GCST009382	1:8276007	31504550	"Bradfield JP"
rs539515-A	4E-14	(EA)	NR	-	"0.1872 unit decrease"	[0.14-0.24]	LINC01741,SEC16B	"Childhood obesity"	obesity	-	GCST009382	1:177919890	31504550	"Bradfield JP"
rs79754226-A	1E-6	(African)	NR	-	"0.5027 unit increase"	[0.3-0.71]	CRISPLD2	"Childhood obesity"	obesity	-	GCST009382	16:84908059	31504550	"Bradfield JP"
rs4077678-C	1E-11	(EA)	NR	-	"0.1306 unit decrease"	[0.093-0.168]	ADCY3	"Childhood obesity"	obesity	-	GCST009382	2:24899971	31504550	"Bradfield JP"
rs6592471-A	2E-6	(African)	NR	-	"0.2896 unit increase"	[0.17-0.41]	CLPB,ART2BP	"Childhood obesity"	obesity	-	GCST009382	11:72469306	31504550	"Bradfield JP"
rs2206277-T	3E-8	(EA)	NR	-	"0.1352 unit increase"	[0.087-0.183]	TFAP2B	"Childhood obesity"	obesity	-	GCST009382	6:50830813	31504550	"Bradfield JP"
rs61735483-A	3E-6	(African)	NR	-	"0.4498 unit increase"	[0.26-0.64]	OR51V1	"Childhood obesity"	obesity	-	GCST009382	11:5199846	31504550	"Bradfield JP"
rs144512680-C	3E-6	(African)	NR	-	"0.6121 unit increase"	[0.35-0.87]	SNHG27,RPL7AP28	"Childhood obesity"	obesity	-	GCST009382	4:131830983	31504550	"Bradfield JP"
rs116705787-A	3E-6	(African)	NR	-	"1.1412 unit decrease"	[0.66-1.62]	STAC,RFC3P1	"Childhood obesity"	obesity	-	GCST009382	3:36210484	31504550	"Bradfield JP"
rs73407039-T	4E-6	(African)	NR	-	"0.4499 unit decrease"	[0.26-0.64]	MMP26	"Childhood obesity"	obesity	-	GCST009382	11:4932543	31504550	"Bradfield JP"
rs143428611-C	4E-6	(African)	NR	-	"0.4969 unit increase"	[0.29-0.71]	LINC03085,ERVK-28	"Childhood obesity"	obesity	-	GCST009382	19:24436206	31504550	"Bradfield JP"
rs17639996-A	8E-7	(EA)	NR	-	"0.1301 unit decrease"	[0.078-0.182]	FHIT,PTPRG	"Childhood obesity"	obesity	-	GCST009382	3:61283994	31504550	"Bradfield JP"
rs6830458-C	4E-6	(African)	NR	-	"1.0557 unit decrease"	[0.61-1.51]	CRACD	"Childhood obesity"	obesity	-	GCST009382	4:56252373	31504550	"Bradfield JP"
rs141458884-C	1E-6	(EA)	NR	-	"0.1433 unit increase"	[0.086-0.201]	CEP162	"Childhood obesity"	obesity	-	GCST009382	6:84131530	31504550	"Bradfield JP"
rs73310815-T	5E-6	(African)	NR	-	"0.409 unit increase"	[0.23-0.58]	BMPER	"Childhood obesity"	obesity	-	GCST009382	7:33921846	31504550	"Bradfield JP"
rs2104449-T	1E-6	(EA)	NR	-	"0.1165 unit increase"	[0.069-0.164]	RPL7P9,NDUFS5P2	"Childhood obesity"	obesity	-	GCST009382	1:96616976	31504550	"Bradfield JP"
rs142600408-T	5E-6	(African)	NR	-	"1.0342 unit increase"	[0.59-1.48]	LINC01689,LINC01684	"Childhood obesity"	obesity	-	GCST009382	21:24312656	31504550	"Bradfield JP"
rs3735781-A	2E-6	(EA)	NR	-	"0.0951 unit increase"	[0.056-0.134]	NRG1	"Childhood obesity"	obesity	-	GCST009382	8:32767310	31504550	"Bradfield JP"
rs116821950-T	5E-6	(African)	NR	-	"0.7856 unit increase"	[0.45-1.12]	RNA5SP63,U3	"Childhood obesity"	obesity	-	GCST009382	1:163600766	31504550	"Bradfield JP"
rs138328529-T	7E-6	(African)	NR	-	"0.5595 unit decrease"	[0.32-0.8]	BTF3P10,RAET1K	"Childhood obesity"	obesity	-	GCST009382	6:149994874	31504550	"Bradfield JP"
rs2925630-T	4E-6	(EA)	NR	-	"0.0935 unit decrease"	[0.054-0.133]	SULT1A1	"Childhood obesity"	obesity	-	GCST009382	16:28607811	31504550	"Bradfield JP"
rs2749808-T	5E-6	(EA)	NR	-	"0.0963 unit decrease"	[0.055-0.138]	LINC01440	"Childhood obesity"	obesity	-	GCST009382	20:55573956	31504550	"Bradfield JP"
rs7940756-A	7E-6	(EA)	NR	-	"0.0903 unit decrease"	[0.051-0.13]	METTL15,LINC02758	"Childhood obesity"	obesity	-	GCST009382	11:28676708	31504550	"Bradfield JP"
rs34414412-A	8E-6	(EA)	NR	-	"0.2212 unit increase"	[0.12-0.32]	LARP1BP1,TECRL	"Childhood obesity"	obesity	-	GCST009382	4:63481560	31504550	"Bradfield JP"
rs111434562-A	8E-6	(EA)	NR	-	"0.1358 unit decrease"	[0.076-0.196]	CACUL1	"Childhood obesity"	obesity	-	GCST009382	10:118746084	31504550	"Bradfield JP"
rs13204763-A	9E-6	(EA)	NR	-	"0.0906 unit decrease"	[0.051-0.131]	ATXN1-AS1,STMND1	"Childhood obesity"	obesity	-	GCST009382	6:16940230	31504550	"Bradfield JP"
rs2465028-A	2E-6	(Hispanic)	NR	-	"0.4432 unit increase"	[0.26-0.63]	PKHD1,FTH1P5	"Childhood obesity"	obesity	-	GCST009382	6:51282042	31504550	"Bradfield JP"
rs12295638-C	4E-6	-	0.10	1.49	-	[1.26-1.77]	ANO3	"Obesity (extreme)"	obesity	-	GCST000426	11:26583784	19553259	"Cotsapas C"
rs1435703-T	4E-6	-	0.06	1.66	-	[1.34-2.06]	RARB	"Obesity (extreme)"	obesity	-	GCST000426	3:25518740	19553259	"Cotsapas C"
rs6726292-G	1E-6	-	0.73	1.39	-	[1.22-1.59]	EML6	"Obesity (extreme)"	obesity	-	GCST000426	2:54929493	19553259	"Cotsapas C"
rs2274459-A	6E-6	-	0.17	1.38	-	[1.20-1.58]	LEMD2,MLN	"Obesity (extreme)"	obesity	-	GCST000426	6:33794465	19553259	"Cotsapas C"
rs999943-T	1E-6	-	0.72	1.37	-	[1.20-1.56]	ITPR3	"Obesity (extreme)"	obesity	-	GCST000426	6:33656956	19553259	"Cotsapas C"
rs9941349-T	6E-12	-	0.43	1.48	-	[1.33-1.66]	FTO	"Obesity (extreme)"	obesity	-	GCST000426	16:53791576	19553259	"Cotsapas C"
rs10433903-T	3E-6	-	0.66	1.33	-	[1.19-1.52]	TRAM1L1,LINC02262	"Obesity (extreme)"	obesity	-	GCST000426	4:117171981	19553259	"Cotsapas C"
rs6110577-C	5E-6	-	0.16	1.4	-	[1.21-1.61]	MACROD2	"Obesity (extreme)"	obesity	-	GCST000426	20:15355108	19553259	"Cotsapas C"
rs7603514-A	8E-6	-	0.20	1.36	-	[1.19-1.56]	INO80D,PPIAP68	"Obesity (extreme)"	obesity	-	GCST000426	2:205971888	19553259	"Cotsapas C"
rs12635698-C	5E-6	-	0.15	1.41	-	[1.21-1.63]	RFTN1	"Obesity (extreme)"	obesity	-	GCST000426	3:16366982	19553259	"Cotsapas C"
rs10999409-T	5E-6	-	0.45	1.3	-	[1.16-1.45]	PALD1	"Obesity (extreme)"	obesity	-	GCST000426	10:70572684	19553259	"Cotsapas C"
rs7474896-T	9E-7	-	0.14	1.46	-	[1.25-1.69]	MTND1P18,ZNF248	"Obesity (extreme)"	obesity	-	GCST000426	10:37693169	19553259	"Cotsapas C"
rs374748-G	4E-6	-	0.11	1.47	-	[1.25-1.73]	FBN2	"Obesity (extreme)"	obesity	-	GCST000426	5:128363682	19553259	"Cotsapas C"
rs925642-?	7E-6	(obesity)	NR	-	-	-	MRPS36P2,FAT1	Obesity	obesity	-	GCST001057	4:186757712	21552555	"Wang K"
rs10953454-?	7E-7	(HIP)	NR	-	-	-	LHFPL3	Obesity	obesity	-	GCST001057	7:104863366	21552555	"Wang K"
rs5762430-?	7E-7	(HIP)	NR	-	-	-	TTC28-AS1,TTC28	Obesity	obesity	-	GCST001057	22:27982484	21552555	"Wang K"
rs9923451-?	8E-7	(HIP)	NR	-	-	-	WWOX	Obesity	obesity	-	GCST001057	16:78918542	21552555	"Wang K"
rs11088859-?	4E-8	(waist)	NR	-	-	-	NCAM2	Obesity	obesity	-	GCST001057	21:21317024	21552555	"Wang K"
rs7581710-?	2E-7	(WHR)	NR	-	-	-	INHBB,LINC01101	Obesity	obesity	-	GCST001057	2:120437605	21552555	"Wang K"
rs2807278-?	3E-7	(WHR)	NR	-	-	-	ARG1	Obesity	obesity	-	GCST001057	6:131488780	21552555	"Wang K"
rs11624704-?	3E-9	(WHR)	NR	-	-	-	NRXN3	Obesity	obesity	-	GCST001057	14:78319734	21552555	"Wang K"
rs17126232-?	8E-8	(weight)	NR	-	-	-	ASAH1-AS1,NAT1	Obesity	obesity	-	GCST001057	8:18120141	21552555	"Wang K"
rs17817449-?	2E-12	(obesity)	NR	-	-	-	FTO	Obesity	obesity	-	GCST001057	16:53779455	21552555	"Wang K"
rs17126232-?	4E-7	(BMI)	NR	-	-	-	ASAH1-AS1,NAT1	Obesity	obesity	-	GCST001057	8:18120141	21552555	"Wang K"
rs17126232-?	2E-7	(HIP)	NR	-	-	-	ASAH1-AS1,NAT1	Obesity	obesity	-	GCST001057	8:18120141	21552555	"Wang K"
rs16867321-?	2E-6	(obesity)	NR	-	-	-	CWC22,SCHLAP1	Obesity	obesity	-	GCST001057	2:180497652	21552555	"Wang K"
rs17081231-?	7E-7	(weight)	NR	-	-	-	PCDH9	Obesity	obesity	-	GCST001057	13:66393490	21552555	"Wang K"
rs633715-C	4E-19	"(Obesity class II)"	0.19	1.19	-	[NR]	LINC01741,SEC16B	Obesity	obesity	-	GCST001953	1:177883445	23563607	"Berndt SI"
rs7138803-A	1E-20	"(Obesity class I)"	0.38	1.09	-	[NR]	BCDIN3D,RPL35AP28	Obesity	obesity	-	GCST001953	12:49853685	23563607	"Berndt SI"
rs7138803-A	1E-16	"(Obesity class II)"	0.38	1.14	-	[NR]	BCDIN3D,RPL35AP28	Obesity	obesity	-	GCST001953	12:49853685	23563607	"Berndt SI"
rs7141420-T	1E-17	"(Obesity class I)"	0.52	1.08	-	[NR]	NRXN3	Obesity	obesity	-	GCST001953	14:79433111	23563607	"Berndt SI"
rs7531118-C	2E-17	"(Obesity class I)"	0.56	1.08	-	[NR]	RNU6-1246P,RPL31P12	Obesity	obesity	-	GCST001953	1:72371556	23563607	"Berndt SI"
rs1800437-G	3E-14	"(Obesity class I)"	0.78	1.1	-	[NR]	GIPR	Obesity	obesity	-	GCST001953	19:45678134	23563607	"Berndt SI"
rs7498665-G	3E-13	"(Obesity class I)"	0.4	1.07	-	[NR]	SH2B1	Obesity	obesity	-	GCST001953	16:28871920	23563607	"Berndt SI"
rs8028313-C	6E-13	"(Obesity class I)"	0.78	1.08	-	[NR]	MAP2K5	Obesity	obesity	-	GCST001953	15:67750719	23563607	"Berndt SI"
rs2307111-T	3E-12	"(Obesity class I)"	0.6	1.07	-	[NR]	POC5	Obesity	obesity	-	GCST001953	5:75707853	23563607	"Berndt SI"
rs887912-T	1E-10	"(Obesity class I)"	0.28	1.07	-	[NR]	LINC01793,LINC01122	Obesity	obesity	-	GCST001953	2:59075742	23563607	"Berndt SI"
rs12446632-G	2E-10	"(Obesity class I)"	0.86	1.09	-	[NR]	GPRC5B,GPR139	Obesity	obesity	-	GCST001953	16:19924067	23563607	"Berndt SI"
rs887912-T	6E-9	"(Obesity class II)"	0.28	1.1	-	[NR]	LINC01793,LINC01122	Obesity	obesity	-	GCST001953	2:59075742	23563607	"Berndt SI"
rs7185735-G	1E-79	"(Obesity class II)"	0.4	1.33	-	[NR]	FTO	Obesity	obesity	-	GCST001953	16:53788739	23563607	"Berndt SI"
rs1421085-C	6E-39	"(Obesity class III)"	0.41	1.45	-	[NR]	FTO	Obesity	obesity	-	GCST001953	16:53767042	23563607	"Berndt SI"
rs7989336-A	1E-8	"(Obesity class II)"	0.47	1.1	-	[NR]	HS6ST3	Obesity	obesity	-	GCST001953	13:96365294	23563607	"Berndt SI"
rs17024258-T	9E-12	"(Obesity class I)"	0.04	1.25	-	[NR]	GNAT2	Obesity	obesity	-	GCST001953	1:109604699	23563607	"Berndt SI"
rs9816226-T	2E-13	"(Obesity class I)"	0.82	1.1	-	[NR]	DGKG	Obesity	obesity	-	GCST001953	3:186116710	23563607	"Berndt SI"
rs11042023-C	1E-11	"(Obesity class I)"	0.65	1.07	-	[NR]	TRIM66	Obesity	obesity	-	GCST001953	11:8640969	23563607	"Berndt SI"
rs1514177-C	5E-9	"(Obesity class I)"	0.43	1.06	-	[NR]	FPGT-TNNI3K,TNNI3K	Obesity	obesity	-	GCST001953	1:74525718	23563607	"Berndt SI"
rs11152213-C	3E-22	"(Obesity class II)"	0.24	1.19	-	[NR]	RNU4-17P,MC4R	Obesity	obesity	-	GCST001953	18:60185715	23563607	"Berndt SI"
rs4735692-A	4E-10	(Overweight)	0.58	1.04	-	[NR]	HNF4G,RNU2-54P	Obesity	obesity	-	GCST001953	8:75703428	23563607	"Berndt SI"
rs7503807-A	2E-8	(Overweight)	0.57	1.04	-	[NR]	RPTOR	Obesity	obesity	-	GCST001953	17:80617311	23563607	"Berndt SI"
rs1558902-A	2E-81	(Overweight)	0.41	1.14	-	[NR]	FTO	Obesity	obesity	-	GCST001953	16:53769662	23563607	"Berndt SI"
rs6711012-C	6E-35	(Overweight)	0.82	1.11	-	[NR]	TMEM18,LINC01875	Obesity	obesity	-	GCST001953	2:624034	23563607	"Berndt SI"
rs13130484-T	4E-28	(Overweight)	0.43	1.08	-	[NR]	THAP12P9,PRDX4P1	Obesity	obesity	-	GCST001953	4:45173674	23563607	"Berndt SI"
rs2206277-T	5E-22	"(Obesity class I)"	0.18	1.12	-	[NR]	TFAP2B	Obesity	obesity	-	GCST001953	6:50830813	23563607	"Berndt SI"
rs13130484-T	3E-18	"(Obesity class II)"	0.43	1.14	-	[NR]	THAP12P9,PRDX4P1	Obesity	obesity	-	GCST001953	4:45173674	23563607	"Berndt SI"
rs10182181-G	1E-17	"(Obesity class I)"	0.46	1.08	-	[NR]	ADCY3,DNAJC27	Obesity	obesity	-	GCST001953	2:24927427	23563607	"Berndt SI"
rs3101336-C	1E-13	"(Obesity class II)"	0.61	1.12	-	[NR]	RPL31P12,NEGR1	Obesity	obesity	-	GCST001953	1:72285502	23563607	"Berndt SI"
rs10423928-T	4E-13	"(Obesity class II)"	0.77	1.16	-	[NR]	GIPR	Obesity	obesity	-	GCST001953	19:45679046	23563607	"Berndt SI"
rs2030323-C	6E-11	"(Obesity class II)"	0.79	1.13	-	[NR]	BDNF	Obesity	obesity	-	GCST001953	11:27706992	23563607	"Berndt SI"
rs1412239-G	2E-10	"(Obesity class II)"	0.32	1.11	-	[NR]	LINGO2	Obesity	obesity	-	GCST001953	9:28425517	23563607	"Berndt SI"
rs9568867-A	2E-9	"(Obesity class II)"	0.13	1.15	-	[NR]	ZNF646P1,LINC00558	Obesity	obesity	-	GCST001953	13:53533217	23563607	"Berndt SI"
rs1516725-C	3E-9	"(Obesity class II)"	0.86	1.15	-	[NR]	DGKG,ETV5	Obesity	obesity	-	GCST001953	3:186106215	23563607	"Berndt SI"
rs2112347-T	4E-9	"(Obesity class II)"	0.63	1.09	-	[NR]	SLC25A5P9,POC5	Obesity	obesity	-	GCST001953	5:75719417	23563607	"Berndt SI"
rs11639988-A	4E-9	"(Obesity class II)"	0.86	1.15	-	[NR]	GPR139,GPRC5B	Obesity	obesity	-	GCST001953	16:19933041	23563607	"Berndt SI"
rs10968576-G	3E-8	"(Obesity class I)"	0.32	1.07	-	[NR]	LINGO2	Obesity	obesity	-	GCST001953	9:28414341	23563607	"Berndt SI"
rs7184597-T	7E-9	"(Obesity class II)"	0.33	1.1	-	[NR]	RABEP2	Obesity	obesity	-	GCST001953	16:28910488	23563607	"Berndt SI"
rs10189761-A	6E-24	"(Obesity class II)"	0.82	1.24	-	[NR]	TMEM18,LINC01875	Obesity	obesity	-	GCST001953	2:646364	23563607	"Berndt SI"
rs17381664-C	3E-8	"(Obesity class II)"	0.39	1.09	-	[NR]	ZZZ3	Obesity	obesity	-	GCST001953	1:77582646	23563607	"Berndt SI"
rs2207139-G	3E-19	"(Obesity class II)"	0.18	1.2	-	[NR]	RPS17P5,FTH1P5	Obesity	obesity	-	GCST001953	6:50877777	23563607	"Berndt SI"
rs4735692-A	2E-9	"(Obesity class I)"	0.58	1.06	-	[NR]	HNF4G,RNU2-54P	Obesity	obesity	-	GCST001953	8:75703428	23563607	"Berndt SI"
rs13041126-T	2E-8	"(Obesity class I)"	0.72	1.06	-	[NR]	LINC01524	Obesity	obesity	-	GCST001953	20:52476457	23563607	"Berndt SI"
rs2531995-T	4E-8	"(Obesity class I)"	0.61	1.07	-	[NR]	ADCY9	Obesity	obesity	-	GCST001953	16:3963466	23563607	"Berndt SI"
rs8043757-T	5E-110	"(Obesity class I)"	0.4	1.23	-	[NR]	FTO	Obesity	obesity	-	GCST001953	16:53779538	23563607	"Berndt SI"
rs6711012-C	3E-40	"(Obesity class I)"	0.82	1.18	-	[NR]	TMEM18,LINC01875	Obesity	obesity	-	GCST001953	2:624034	23563607	"Berndt SI"
rs538656-T	2E-36	"(Obesity class I)"	0.24	1.15	-	[NR]	MC4R,RNU4-17P	Obesity	obesity	-	GCST001953	18:60183189	23563607	"Berndt SI"
rs10938397-G	3E-34	"(Obesity class I)"	0.43	1.12	-	[NR]	THAP12P9,PRDX4P1	Obesity	obesity	-	GCST001953	4:45180510	23563607	"Berndt SI"
rs633715-C	9E-23	"(Obesity class I)"	0.19	1.12	-	[NR]	LINC01741,SEC16B	Obesity	obesity	-	GCST001953	1:177883445	23563607	"Berndt SI"
rs2030323-C	3E-22	"(Obesity class I)"	0.79	1.12	-	[NR]	BDNF	Obesity	obesity	-	GCST001953	11:27706992	23563607	"Berndt SI"
rs10871777-G	2E-27	(Overweight)	0.24	1.1	-	[NR]	MC4R,RNU4-17P	Obesity	obesity	-	GCST001953	18:60184530	23563607	"Berndt SI"
rs633715-C	7E-20	(Overweight)	0.2	1.08	-	[NR]	LINC01741,SEC16B	Obesity	obesity	-	GCST001953	1:177883445	23563607	"Berndt SI"
